SMILES,CID (canonical),CDD_mol_ID,f_avg_IC50,f_avg_pIC50,f_curve_IC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,f_concentration_uM,f_inhibition_list
O=C(Nc1nncn1C1CC1)C1CCOc2ccc(Cl)cc21,JAG-UCB-a3ef7265-20,76390012,0.5978529750818746,6.22340560524454,"[0.5134766575976677, 0.6960943102778975]","[99.948305, 98.153805]","[9.745907500000001, 6.6479055]","[0.8998999306396908, 0.9969007824536976]","[0.9831834224498401, 0.9959972412222449]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[101.8389, 91.78725, 95.76658, 77.67873, 96.24892, 71.27907, 94.07838, 60.29716, 90.72782, 35.60293, 81.27907, 27.34281, 75.18949, 26.24031, 64.83635, 17.9888, 45.55125, 33.91473, 11.52885, 1.503015, 98.05771, 98.06632, 96.14556, 94.53488], [98.78053, 90.37888, 98.14429, 78.09725, 96.87997, 71.53908, 94.4356, 55.43999, 87.96715, 33.6936, 75.76709, 22.24397, 69.23338, 12.03149, 53.16149, 6.68869, 39.36539, 21.91498, 5.486901, 6.607121, 97.52708, 97.23887, 95.77878, 92.87491]]"
O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-14,76388331,24.94667484680678,4.6029873334843225,"[24.61444590711431, 25.283387985281774]","[81.67958, 79.41460000000001]","[-18.40224, -0.41056550000000014]","[1.1409969230241392, 1.1018539300013568]","[0.8796997557605234, 0.9845778912812108]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-5.861326, -15.49957, -16.87769, -7.911283, 80.34883, 70.6503, 53.00172, 41.98536, 83.01033, 27.39449, 53.441, 15.13781, 53.63049, -3.389319, 33.51852, -5.129199, 17.24806, -17.69595, -0.2971576, -14.76744, -1.442722, -19.92679, -22.09733, -19.95263], [3.771225, 4.203543, 4.50263, 4.760933, 78.32837, 65.92982, 54.45029, 34.83829, 80.50083, 22.12978, 68.8772, 9.320662, 47.3891, 0.8999823, 33.59843, 3.425915, 17.05616, -2.990878, 0.1441059, -5.024674, 0.9761137, -0.2147994, 1.082154, -4.459127]]"
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,76346451,99.49999999999997,,"[99, 99]","[39.616704999999996, 45.393365]","[-12.695953, -3.8432775]","[2.124313336672667, 1.0940647927566642]","[0.6210422526820766, 0.913096073687081]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[42.19207, -6.567614, 17.8596, -17.23083, 3.268734, -21.53747, -2.459087, -13.21705, -10.21102, -16.34367, -6.317829, -8.488372, -3.854436, -6.111111, 4.870801, 3.139535, 1.132644, 0.6416882, -13.29457, -16.25754, 37.04134, 17.94574, -1.571921, -11.24462], [48.45494, 8.893783, 32.64407, 1.435621, 20.47392, 4.535258, 12.37136, 3.986024, 1.30511, -4.070312, 3.115951, -0.4540696, 0.4676645, -1.585165, 3.65159, 10.58227, -1.623231, 1.538943, -6.10139, -2.950093, 42.33179, 26.01248, 9.918839, 0.3289965]]"
O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21,JAG-UCB-a3ef7265-3,76390017,42.357588106548306,4.373068777125426,"[42.74560130395519, 41.97309700818247]","[71.40827, 69.431865]","[-23.919035, -1.83531135]","[1.4016072910616988, 1.0217118168853898]","[0.7809918288777119, 0.9191632445590951]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-16.34367, -19.04823, -19.14298, -11.6236, 73.10508, 59.03962, 38.82429, 26.33505, 69.71146, 20.16796, 58.05771, 8.074935, 26.01637, -5.223945, 9.203273, -11.33936, -4.448751, -17.06718, -13.56158, -17.93712, -23.57881, -28.69509, -20.61585, -23.08785], [3.705969, 8.211319, 3.308998, 3.319874, 68.98867, 54.51283, 37.10592, 49.41202, 69.87506, 10.49254, 55.07293, 3.991462, 30.84139, 5.27754, 17.02625, -3.094199, 6.365131, -3.281809, 1.612355, -0.5057302, -3.814728, -6.245496, -0.5764237, -0.263741]]"
O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1,GIA-UNK-20b63697-6,75709415,4.128421913030777,5.384215925446308,"[5.721940440282881, 2.978686630850369]","[97.39879, 96.806555]","[-3.6563305, 0.5478744]","[1.3733196726221646, 1.0777060429520053]","[0.9876338327626062, 0.9895654416528604]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[99.63393, 64.81051, 95.49095, 23.96641, 90.40913, 11.15848, 77.36003, 4.862188, 51.18432, -4.069767, 24.62102, -4.095607, 15.31869, -1.037898, 15.36176, 5.47373, 4.379845, 6.223083, -6.274763, -8.445306, 95.16365, 95.04306, 87.15331, 72.76055], [97.5733, 75.94926, 97.93765, 43.8218, 94.34044, 33.73166, 84.74244, 21.46906, 68.34155, 9.111301, 37.70409, 3.045257, 31.3879, 3.058852, 33.05464, -0.1114782, 5.418927, 4.891445, -0.1114782, 1.207227, 95.97726, 95.67546, 93.30451, 81.62377]]"
O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-5,76388090,99.49999999999997,,"[99, 99]","[33.333335, 34.86276]","[-19.00086, -5.2245194999999995]","[0.8692829616148072, 0.6971808500018282]","[0.5350652776635751, 0.6857777132397477]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-11.33075, -15.80965, -15.77519, -9.944014, 20.43497, 30.74505, 18.88458, 11.60637, 27.36003, 3.871662, 35.92162, 8.29888, 20.29716, -7.144702, 3.458225, -8.22136, -2.950043, -13.12231, -11.80448, -13.1137, -5.241171, -22.22653, -16.24892, -6.464255], [5.663635, 2.640129, 3.599929, 5.758799, 27.45626, 29.1964, 22.25485, 10.5442, 42.26926, 21.6322, 40.47745, 3.374254, 17.00178, -4.619546, 6.642467, 0.8292888, 8.55391, 27.7064, 0.02990878, -6.468453, -5.829493, -5.927376, -3.893579, -5.65004]]"
O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-4,76388089,99.49999999999997,,"[99, 99]","[41.00775, 44.73945500000001]","[-7.226528, -2.447082]","[1.8181934781179947, 0.8795436218628535]","[0.8244713718161718, 0.7617620892372786]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[42.41602, -3.596038, 19.58226, -10.81395, 5.223945, -15.66322, 2.4677, -7.437553, -4.336779, -6.998277, -1.847545, -1.244617, 1.210164, 0.3488372, 3.880275, 4.517657, -4.379845, 7.03273, -5.137812, -8.815676, 39.59948, 22.9242, 1.614987, -5.999138], [45.65711, 11.28648, 28.87556, 1.432902, 19.41352, 12.57528, 13.35019, 28.61998, 3.670623, -0.01903286, 4.755496, -2.112647, 0.6906208, -1.677611, -0.09788327, 0.2256753, 2.419892, 5.334638, -3.216553, -3.512922, 43.8218, 24.24242, 9.693163, 4.731025]]"
N#Cc1ccccc1S(=O)(=O)N1CCN(C(=O)c2cc(=O)[nH]c3cc(F)ccc23)CC1,MAT-POS-590ac91e-61,76390093,,,"[nan, nan]","[12.1403965, 16.695895]","[-13.496985, -7.046234500000001]","[nan, nan]","[nan, nan]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-13.57881, -15.68045, -11.67528, -3.863049, 7.222222, 8.807063, 5.44789, 7.101636, 4.336779, -7.756244, 15.47373, 10.67614, 0.6589147, 0.4608096, -4.543497, 0.7192076, -11.236, -4.767442, -12.03704, -8.161068, -18.764, -15.31869, -26.77433, -8.807063], [5.394456, 2.365512, 11.42787, 4.861536, 3.657028, 2.648286, -11.37077, 0.663431, 5.190532, 1.451935, 9.565371, 20.85186, -2.721699, -6.226464, -3.559144, -4.535258, 27.82332, 8.203162, 12.53993, -7.67568, -6.052449, -5.753361, -4.15732, -3.387849]]"
COc1ccccc1OC(C)CNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-38,76390067,99.49999999999997,,"[99, 99]","[43.531435, 38.631265]","[-3.199828, -3.510203]","[1.0268002334227833, 0.6667255461839681]","[0.8387589975918193, 0.6985042087207929]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[49.25495, 0.5211025, 28.8329, -8.092162, 15.70629, -6.541774, 10.02153, 2.433247, 3.957795, 1.528854, 5.525409, 6.205857, 10.75366, 9.280792, 0.6933678, 0.7622739, -7.92851, 12.21792, 4.956933, 0.4952627, 37.80792, 32.50215, 13.79414, 12.78639], [42.72605, 12.14296, 36.23312, 7.730059, 22.62735, 7.161793, 23.72582, 5.310167, 4.516225, -3.502046, 10.72094, 10.44904, -2.844053, -2.156151, 2.226844, -1.9196, -2.205093, -0.7667523, 26.8037, -5.100806, 34.53648, 28.87285, 11.33815, 2.732575]]"
Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)c(C)c1,MAT-POS-590ac91e-63,76390095,99.49999999999997,,"[99, 99]","[30.931034999999998, 25.102715]","[-10.0646555, -2.159088]","[1.426265380590788, 0.8757435542005069]","[0.6400578089264038, 0.864299753302746]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[37.87931, -0.9224138, 19.17241, -5.456896, 6.543103, -8.637931, 8.146552, 2.465517, -3.37069, -5.017241, 3.956897, 3.267241, 3.310345, 3.810345, -3.689655, -0.3448276, -15.11207, 7.413793, 18.66379, -1.637931, 23.98276, 17.05172, 6.758621, -10.7069], [29.12323, 6.031471, 23.49143, 2.730652, 9.701221, 3.90173, 8.326113, 6.984544, 1.830683, -1.623858, -1.397468, -1.928506, -2.009559, -1.931301, -0.6568099, -2.325387, -2.694318, -0.1956455, -2.356131, -1.612678, 21.0822, 12.89583, 6.660332, 1.397468]]"
CC1(C)Cc2cccc(OCCNC(=O)c3cc(=O)[nH]c4cc(F)ccc34)c2O1,MAT-POS-590ac91e-46,76390076,99.49999999999997,,"[99, 99]","[39.42672, 40.8941]","[-11.68103205, -3.0702365]","[0.8415083876642199, 0.7125482274801324]","[0.7609805283954288, 0.8623107304636609]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-1.439655, -10.47414, -9.836206, 0.1982759, 38.36207, 37.0431, 33.82759, 20.15517, 39.86207, 4.405172, 41.81034, 9.939655, 31.31897, -4.301724, 15.62069, -5.353448, 5.413793, -9.25, -1.448276, -11.08621, -11.9569, -3.913793, -15.15517, -23.56034], [3.149892, 2.543391, 3.915705, 3.323179, 38.34931, 42.52494, 42.11968, 22.28961, 40.14366, 12.16915, 39.26326, 3.625031, 31.3452, -3.342743, 17.55499, 4.239917, 7.364655, -3.012941, -2.596495, -7.543531, -2.79773, -6.50661, -1.143129, -3.910115]]"
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-40,76390070,32.97414669860779,4.481826434261687,"[40.478017285169514, 26.861353974955556]","[57.172415, 61.392154999999995]","[-5.7456890000000005, -2.6272395000000004]","[0.755002293212413, 0.6963805786756877]","[0.9045570826154774, 0.9375148801395695]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[56.94828, 24.35345, 61.76724, 0.6465517, 50.82759, -5.560345, 38.68103, -1.534483, 21.41379, 10.18966, 8.905172, -2.801724, 8.103448, -2.405172, 7.353448, 3.37931, -5.474138, 7.474138, -9.086206, -11.03448, 54.85345, 52.57759, 44.51724, 28.76724], [62.13701, 30.32226, 64.26395, 9.796249, 60.14143, 11.61855, 44.65748, 4.76816, 27.21988, -3.02412, 17.97703, 0.4220353, 9.374214, 0.609296, 2.344951, 3.507644, 0.1956455, 2.769781, -5.863775, -4.578104, 55.09657, 58.52036, 56.37385, 40.20794]]"
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-32,76390061,99.49999999999997,,"[99, 99]","[35.331895, 31.61072]","[-26.163790000000002, -2.6957155]","[0.9247199485838968, 0.6184061063651415]","[0.49014889874955503, 0.7585059902524895]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-12.10345, -12.53448, -18.52586, -7.896552, 27.7069, 33.75862, 27.40517, 20.56897, 37.30172, 7.405172, 36.90517, 8.336206, 25.84483, -6.767241, 13.82759, -9.198276, -3.37069, -15.74138, -12.21552, -13.93966, -32.87069, -33.80172, -26.2069, -22.09483], [3.957629, 5.100758, 14.06412, 4.181224, 32.15574, 28.20929, 33.91654, 18.44658, 27.23385, 11.39775, 32.69236, 2.8145, 29.3049, -4.675927, 15.43922, -3.015736, 5.083988, -5.5731020000000004, -4.854803, -5.123117, 4.105761, -5.00573, -2.375695, -4.368484]]"
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,76346376,95.8330784284157,4.018484560865628,"[96.8711867033273, 94.80609491440698]","[48.724135000000004, 52.342155000000005]","[-8.89655295, -4.056849]","[1.7428500714943451, 0.8793720373668409]","[0.8061906960459866, 0.6679001036521106]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[53.03448, -9.775862, 30.9569, -13.78448, 10.39655, -17.34483, 8.362069, -7.241379, -3.663793, -12.66379, -1.62931, -4.413793, -0.4482759, -3.689655, 5.094828, 6.87931, -0.4224138, 5.758621, -12.0431, -6.982759, 44.41379, 27.55172, 0.4482759, -3.87931], [55.31457, 17.14134, 39.43654, 5.047654, 30.14058, 7.19137, 16.04014, 5.044859, 4.849213, -0.5394226, -2.987786, 46.6866, -2.504262, -1.168283, 0.9279186, -0.6791694, -0.6679896, 0.1145924, -6.945415, 5.701669, 49.36974, 31.63308, 14.18709, 12.42628]]"
O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,GIA-UNK-20b63697-2,75709411,20.726390543875027,4.683476322766921,"[28.40297726364722, 15.124585742884534]","[79.53017, 89.06481500000001]","[-25.728445, -0.5687694999999999]","[1.3023367521744234, 1.1670957659201673]","[0.8546189729949718, 0.9209009113760763]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-9.051724, -19.9569, -20.0431, -9.827586, 80.93965, 67.34483, 48.41379, 35.14655, 78.12069, 20.11207, 66.12931, 11.37069, 44.90517, -6.310345, 26.19828, -11.46552, 9.068966, -18.73276, -5.232759, -16.33621, -6.982759, -31.41379, -16.23276, -24.13793], [2.683138, 4.533386, 6.828028, 3.778753, 88.82585, 79.9631, 66.75145, 48.29928, 89.30378, 32.59174, 79.82616, 13.56382, 62.61774, 3.862601, 42.23707, 0.3409821, 26.83977, -3.820677, 7.19137, -3.661366, 3.404232, -3.365103, 13.55264, 39.94522]]"
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,76346453,96.9383202483582,4.013504510022682,"[95.81098673002681, 98.07891822523378]","[49.11207, 52.866209999999995]","[-11.5603425, -2.9444644500000003]","[1.744850621940716, 0.5912350201708094]","[0.7324373458759215, 0.628261732269572]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[52.90517, -1.008621, 29.62931, -16.78448, 9.646552, -19.68103, 4.474138, -12.12931, -7.189655, -19.43966, -5.267241, -8.293103, -3.439655, -6.827586, 3.75, 3.068965, 2.551724, 1.258621, -13.94828, -22.53448, 45.31897, 29.84483, 1.336207, -1.939655], [56.16703, 9.966741, 39.13469, 7.716817, 32.11381, 35.65779, 15.29948, 1.853042, 6.990134, 0.5729618, 1.159898, -2.314207, 0.5506023, -0.9167389, 1.93689, 0.1257721, -1.428212, 22.11353, -4.97219, -4.491461, 49.56539, 33.01657, 17.74225, 64.16334]]"
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,76346462,17.31034561223188,4.761694261068178,"[17.88260419046654, 16.756399796326196]","[84.607755, 85.892565]","[-26.560344999999998, -0.5506025000000001]","[1.2925529143979408, 1.1261541929994148]","[0.8735433139497769, 0.979271944358691]","[[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05], [0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]]","[[-12.91379, -18.0431, -21.62069, -13.09483, 84.14655, 74.68965, 60.36207, 47.34483, 85.06896, 33.93103, 76.81034, 16.53448, 58.26724, -1.198276, 41.81034, -5.086207, 23.00862, -15.19828, -1.465517, -17.34483, -17.5, -31.5, -13.33621, -23.49138], [4.611644, 6.059421, 10.38319, 8.049415, 84.79555, 75.9915, 62.07832, 44.65189, 86.98958, 31.43185, 78.21627, 13.05514, 60.48241, 6.509405, 43.45845, 1.422622, 23.402, -3.580312, 8.161212, -6.735795, 4.175634, -4.877162, -0.4695492, -9.15062]]"
